Account,Cupn,Maturity Date,Quantity,Cost Value,Market Value,Industry,FF,Ticker
FNMA POOL #AN3149 1.79% DUE 11,1.79,11/1/2021,"814,305.09","819,648.98","814,222.00",,,
FNMA POOL #AO4573 ADJ RT DUE 0,1.94,6/1/2042,"75,535.96","77,616.15","79,411.23",,,
FNMA POOL #AO7668 ADJ RT DUE 0,1.94,6/1/2042,"32,353.74","33,093.09","33,985.36",,,
FNMA POOL #AP7557 FLTG,2.35,9/1/2042,"98,530.19","98,253.08","103,982.86",,,
FNMA POOL #AS8511 2.5% DUE 12-,2.50,12/1/2031,"2,444,232.74","2,467,338.38","2,559,876.38",,,
FNMA POOL #AY0090 ADJ RT DUE 1,2.72,12/1/2044,"239,474.01","247,107.23","249,351.18",,,
FNMA POOL #AY7097 FLTG RT DUE,1.96,4/1/2045,"75,449.82","77,109.14","78,419.38",,,
FNMA POOL #BC1205 2.645% DUE 0,2.63,7/1/2046,"277,874.48","278,623.43","289,349.32",,,
FNMA POOL #BC4799 FLTG RT 2.49,2.44,11/1/2046,"302,451.60","310,958.04","314,103.27",,,
FNMA POOL #BC9053 2.548% DUE 1,2.53,12/1/2046,"217,534.68","217,126.81","226,200.39",,,
FNMA POOL #BD6059 FLTG RT 2.47,2.48,8/1/2046,"958,206.70","987,102.63","995,866.83",,,
FNMA POOL #BJ2463 ADJ RT 11-01,2.72,11/1/2047,"324,032.76","329,146.41","338,004.68",,,
FNMA POOL #BJ2464 ADJ RT 11-01,2.76,11/1/2047,"279,227.04","283,240.94","291,612.97",,,
FNMA POOL #BK5641 2.0% DUE 10-,2.00,10/1/2035,"746,752.13","780,472.65","773,363.39",,,
FNMA POOL #BN7727 FLTG 08-01-2,3.05,8/1/2049,"528,658.26","537,785.89","554,218.40",,,
FNMA POOL #BO1843 3.035% DUE 0,3.01,8/1/2049,"213,238.72","218,036.59","223,174.23",,,
FNMA POOL #BO3236 FLTG RT DUE,2.78,11/1/2049,"524,040.30","532,064.68","549,270.96",,,
FNMA POOL #BO6267  ADJ RT,2.73,1/1/1950,"628,243.67","635,974.01","658,065.20",,,
FNMA POOL #BP0633 FLTG RT DUE,2.75,1/1/1950,"512,172.42","517,755.09","536,718.96",,,
FNMA POOL #MA1288 2.0% DUE 12-,2.00,12/1/2022,"32,565.78","33,675.04","33,616.70",,,
FNMA POOL #MA2829 2.5% DUE 12-,2.50,12/1/2026,"300,384.51","305,500.43","313,238.96",,,
FNMA POOL #MA3107 2.5% DUE 08-,2.50,8/1/2027,"286,840.49","292,263.57","299,115.34",,,
FNMA POOL #MA3131 3.0% DUE 09-,3.00,9/1/2027,"276,400.02","286,246.76","290,306.99",,,
FNMA POOL BL2206 2.8% 04-01-20,2.80,4/1/2024,"890,000.00","893,059.38","939,617.82",,,
FNMA POOL CA3155 4.0%,4.00,2/1/2034,"129,057.92","133,605.18","139,345.82",,,
FNMA POOL CA3156 4.0%,4.00,2/1/2034,"87,221.03","90,130.67","93,653.06",,,
Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,,,
FNMA POOL# AY8454 FLTG RT 08-0,2.27,8/1/2045,"96,056.93","98,064.36","99,809.06",,,
FNMA SER 2017-M5 CL FA FRN 04-,0.56,4/25/2024,"13,363.35","13,350.13","13,389.54",,,
FREDDIE MAC 2.0% 01/11/2035 2.,2.00,11/1/2035,"4,287,725.13","4,466,268.68","4,431,462.03",,,
FREDDIE MAC 2.0% 09/01/2035 2.,2.00,9/1/2035,"1,822,779.92","1,900,105.65","1,883,930.94",,,
FREDDIE MAC SEASONED CR RISK 2,2.50,5/25/1960,"481,829.22","507,415.89","501,661.89",,,
FREDDIE MAC SEASONED CR RISK S,2.50,11/25/1959,"613,226.73","646,331.40","638,336.40",,,
FREDDIE MAC SEASONED CR RISK T,2.50,5/25/1960,"647,325.25","677,838.28","673,346.37",,,
GNMA SERIES 16-H01 FA FLTG 01-,1.01,1/20/1966,"296,770.29","300,132.05","302,889.01",,,
GNMAII POOL #773442 SER 2062 3,4.63,6/20/1962,"5,100.60","5,573.36","5,176.88",,,
GNMAII POOL #891588 SER 2058 F,0.97,3/20/1958,"375,293.91","376,995.91","382,292.20",,,
PETROLEOS MEXICANOS GTD NT SER,2.38,4/15/2025,"516,000.00","516,371.52","535,178.84",,,
SMALL BUSINESS ADMIN GTD DEV P,4.14,2/1/2030,"332,896.25","341,933.86","361,274.69",,,
U.S. Treasury Securities,,,,,,,,
UNITED STATES TREAS NTS .125%,0.13,7/15/2023,"5,025,000.00","5,017,733.63","5,011,848.63",,,
UNITED STATES TREAS NTS .25% D,0.25,6/15/2023,"3,650,000.00","3,654,027.53","3,650,285.14",,,
UNITED STATES TREAS NTS 1.75%,1.75,12/31/2024,"9,450,000.00","9,874,058.03","9,833,906.25",,,
UNITED STATES TREAS NTS DTD 04,0.25,4/15/2023,"3,800,000.00","3,800,924.84","3,802,078.14",,,
UNITED STATES TREAS NTS FIXED,0.13,5/15/2023,"7,350,000.00","7,327,909.39","7,336,218.75",,,
UNITED STS TREAS NTS .125% DUE,0.13,9/15/2023,"5,375,000.00","5,370,833.45","5,355,263.65",,,
UNITED STS TREAS NTS .125% DUE,0.13,12/15/2023,"6,450,000.00","6,435,392.70","6,415,986.31",,,
UNITED STS TREAS NTS 0.125%,0.25,11/15/2023,"3,250,000.00","3,252,657.37","3,244,541.01",,,
UNITED STS TREAS NTS DTD 01/31,0.13,1/31/2023,"80,000.00","80,018.75","79,921.88",,,
UNITED STS TREAS NTS DTD 08/15,0.13,8/15/2023,"4,375,000.00","4,369,921.88","4,361,499.01",,,
UNITED STS TREAS NTS UNITED ST,0.13,10/15/2023,"6,150,000.00","6,135,295.02","6,123,574.19",,,
